web-scraper-order,web-scraper-start-url,page,page-href,episode,title,number of ratings
"1544663771-747","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep1","New Guys","(1,367)"
"1544663771-764","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep18","Promos","(1,238)"
"1544663768-746","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep24","Free Family Portrait Studio","(1,266)"
"1544663761-660","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep14","Lecture Circuit: Part 1","(1,601)"
"1544663768-727","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep5","Spooked","(1,346)"
"1544663768-723","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep1","The List","(1,600)"
"1544663771-758","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep12","Customer Loyalty","(1,304)"
"1544663768-742","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep20","Welcome Party","(1,295)"
"1544663771-748","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep2","Roy's Wedding","(1,282)"
"1544663757-629","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","3","https://www.imdb.com/title/tt0386676/episodes?season=3&ref_=tt_eps_sn_3","S3, Ep20","Product Recall","(2,127)"
"1544663771-756","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep10","Lice","(1,264)"
"1544663766-703","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","7","https://www.imdb.com/title/tt0386676/episodes?season=7&ref_=tt_eps_sn_7","S7, Ep5","The Sting","(1,394)"
"1544663766-718","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","7","https://www.imdb.com/title/tt0386676/episodes?season=7&ref_=tt_eps_sn_7","S7, Ep20","Michael's Last Dundies","(1,876)"
"1544663757-610","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","3","https://www.imdb.com/title/tt0386676/episodes?season=3&ref_=tt_eps_sn_3","S3, Ep1","Gay Witch Hunt","(2,682)"
"1544663761-656","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep10","Moroccan Christmas","(1,703)"
"1544663771-765","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep19","Stairmageddon","(1,265)"
"1544663757-625","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","3","https://www.imdb.com/title/tt0386676/episodes?season=3&ref_=tt_eps_sn_3","S3, Ep16","Business School","(2,299)"
"1544663761-647","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep1","Weight Loss","(2,217)"
"1544663754-588","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","2","https://www.imdb.com/title/tt0386676/episodes?season=2&ref_=tt_eps_sn_2","S2, Ep1","The Dundies","(2,796)"
"1544663768-740","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep18","Last Day in Florida","(1,237)"
"1544663766-717","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","7","https://www.imdb.com/title/tt0386676/episodes?season=7&ref_=tt_eps_sn_7","S7, Ep19","Training Day","(1,436)"
"1544663761-671","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep25","Cafe Disco","(1,825)"
"1544663764-694","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep22","Secretary's Day","(1,396)"
"1544663771-751","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep5","Here Comes Treble","(1,314)"
"1544663771-767","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep21","Livin' the Dream","(1,717)"
"1544663761-649","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep3","Baby Shower","(1,697)"
"1544663761-654","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep8","Frame Toby","(1,808)"
"1544663766-702","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","7","https://www.imdb.com/title/tt0386676/episodes?season=7&ref_=tt_eps_sn_7","S7, Ep4","Sex Ed","(1,429)"
"1544663759-633","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","4","https://www.imdb.com/title/tt0386676/episodes?season=4&ref_=tt_eps_sn_4","S4, Ep1","Fun Run","(2,496)"
"1544663771-768","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep22","A.A.R.M.","(2,419)"
"1544663764-688","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep16","Manager and Salesman","(1,444)"
"1544663754-598","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","2","https://www.imdb.com/title/tt0386676/episodes?season=2&ref_=tt_eps_sn_2","S2, Ep11","Booze Cruise","(2,332)"
"1544663768-732","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep10","Christmas Wishes","(1,355)"
"1544663771-769","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep23","Finale","(6,864)"
"1544663768-737","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","8","https://www.imdb.com/title/tt0386676/episodes?season=8&ref_=tt_eps_sn_8","S8, Ep15","Tallahassee","(1,317)"
"1544663759-634","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","4","https://www.imdb.com/title/tt0386676/episodes?season=4&ref_=tt_eps_sn_4","S4, Ep2","Dunder Mifflin Infinity","(1,953)"
"1544663761-658","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep12","Prince Family Paper","(1,707)"
"1544663761-665","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep19","Two Weeks","(1,624)"
"1544663757-618","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","3","https://www.imdb.com/title/tt0386676/episodes?season=3&ref_=tt_eps_sn_3","S3, Ep9","The Convict","(2,065)"
"1544663757-621","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","3","https://www.imdb.com/title/tt0386676/episodes?season=3&ref_=tt_eps_sn_3","S3, Ep12","Traveling Salesmen","(2,033)"
"1544663764-695","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep23","Body Language","(1,412)"
"1544663757-619","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","3","https://www.imdb.com/title/tt0386676/episodes?season=3&ref_=tt_eps_sn_3","S3, Ep10","A Benihana Christmas","(2,225)"
"1544663766-720","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","7","https://www.imdb.com/title/tt0386676/episodes?season=7&ref_=tt_eps_sn_7","S7, Ep22","The Inner Circle","(1,421)"
"1544663766-716","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","7","https://www.imdb.com/title/tt0386676/episodes?season=7&ref_=tt_eps_sn_7","S7, Ep18","Garage Sale","(2,377)"
"1544663759-644","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","4","https://www.imdb.com/title/tt0386676/episodes?season=4&ref_=tt_eps_sn_4","S4, Ep12","Did I Stutter?","(1,820)"
"1544663757-624","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","3","https://www.imdb.com/title/tt0386676/episodes?season=3&ref_=tt_eps_sn_3","S3, Ep15","Phyllis' Wedding","(1,989)"
"1544663764-680","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep8","Koi Pond","(1,499)"
